"id","id","time_disturbance","B4","trait","fitness"
1,1,1,0,-9.21034037197618,3.1015318744123e-07
1,1,1,0,-9.21034037197618,5.58082861626336e-07
1,1,1,0,-9.16183452774112,-0.000115098082349764
1,1,1,0,-9.064822839271,-0.000363143668428166
1,1,1,0,-9.04056991715347,-0.000429074808017972
1,1,1,0,-9.02844345609471,-0.000462644856744437
1,1,1,0,-9.01631699503594,-0.000496787237945241
1,1,1,0,-9.00419053397718,-0.000531018592464205
1,1,1,0,-8.99206407291841,-0.000565832332684014
1,1,1,0,-8.87079946233076,-0.000938472733410071
1,1,1,0,-8.8222936180957,-0.00110053267891217
1,1,1,0,-8.70102900750805,-0.00154168264082032
1,1,1,0,-8.65252316327299,-0.0017341411879129
1,1,1,0,-8.60401731903793,-0.00193530324985098
1,1,1,0,-8.50700563056781,-0.00236914806395901
1,1,1,0,-8.38574101998016,-0.0029739382317427
1,1,1,0,-8.24022348727498,-0.00380328502414434
1,1,1,0,-8.11895887668733,-0.00459359622530458
1,1,1,0,-8.00982072715844,-0.00539032646266451
1,1,1,0,-7.86430319445326,-0.00659839798705571
1,1,1,0,-7.8521767333945,-0.00670727133008864
1,1,1,0,-7.80367088915944,-0.00715598229311926
1,1,1,0,-7.65815335645426,-0.00864024798051702
1,1,1,0,-7.54901520692537,-0.00990474806313158
1,1,1,0,-7.42775059633772,-0.0114801435324806
1,1,1,0,-7.30648598575007,-0.0132592309775158
1,1,1,0,-7.20947429727995,-0.0148458701591657
1,1,1,0,-7.11246260880983,-0.0165944917751248
1,1,1,0,-6.95481861504588,-0.0198233558633175
1,1,1,0,-6.86993338763453,-0.021783874755632
1,1,1,0,-6.78504816022317,-0.0239187132197034
1,1,1,0,-6.68803647175305,-0.0265900192809964
1,1,1,0,-6.6031512443417,-0.0291502720680123
1,1,1,0,-6.38487494528393,-0.0368200879513876
1,1,1,0,-6.37274848422516,-0.0372971737823689
1,1,1,0,-6.3606220231664,-0.0377800647797335
1,1,1,0,-6.15447218516739,-0.0469490326545056
1,1,1,0,-5.97257526928592,-0.0567608191121788
1,1,1,0,-5.8755635808158,-0.0627657898327678
1,1,1,0,-5.77855189234568,-0.0693793260788547
1,1,1,0,-5.58452851540544,-0.0846777593473454
1,1,1,0,-5.42688452164149,-0.0994636481949261
1,1,1,0,-5.29349344999507,-0.113902742966665
1,1,1,0,-5.16010237834866,-0.130365532481731
1,1,1,0,-5.09947007305483,-0.138590045573787
1,1,1,0,-4.8690673129383,-0.174653177295562
1,1,1,0,-4.55377932541041,-0.238817873195198
1,1,1,0,-4.31125010423511,-0.302742523128194
1,1,1,0,-3.83831812294327,-0.474847393432011
1,1,1,0,-3.82619166188451,-0.480226285764149
1,1,1,0,-3.75343289553191,-0.513627876485298
1,1,1,0,-3.28050091424008,-0.782941797142913
2,2,2,0,-9.21034037197618,1.12386985557663e-06
2,2,2,0,-9.21034037197618,-2.66800279543285e-06
2,2,2,0,-9.19454522735952,-0.00018573725771748
2,2,2,0,-9.11556950427624,-0.00114660774786359
2,2,2,0,-9.09977435965958,-0.00134804874055975
2,2,2,0,-9.08397921504293,-0.00154984365642061
2,2,2,0,-9.06818407042627,-0.00176058989925305
2,2,2,0,-9.05238892580961,-0.0019717881081274
2,2,2,0,-8.97341320272633,-0.00307598471922232
2,2,2,0,-8.94182291349301,-0.00354641686362157
2,2,2,0,-8.87864233502638,-0.00452755384033503
2,2,2,0,-8.81546175655975,-0.00557013510200705
2,2,2,0,-8.75228117809313,-0.00668510044280353
2,2,2,0,-8.65751031039318,-0.0084882300181915
2,2,2,0,-8.53114915345993,-0.0111807540685771
2,2,2,0,-8.51535400884327,-0.0115371158891873
2,2,2,0,-8.43637828575998,-0.0134279763254182
2,2,2,0,-8.3574025626767,-0.0154734483196475
2,2,2,0,-8.2468365503601,-0.0186152690068613
2,2,2,0,-8.19945111651013,-0.0200705549548562
2,2,2,0,-8.12047539342684,-0.022654151199052
2,2,2,0,-8.04149967034356,-0.0254479279099094
2,2,2,0,-7.97831909187693,-0.0278427536691529
2,2,2,0,-7.88354822417698,-0.0317256271142696
2,2,2,0,-7.72559677801041,-0.039063566543623
2,2,2,0,-7.67821134416044,-0.0414925378850945
2,2,2,0,-7.56764533184384,-0.0476189973740806
2,2,2,0,-7.40969388567727,-0.057591977889585
2,2,2,0,-7.2517424395107,-0.0691898631228821
2,2,2,0,-7.1411764271941,-0.078407573822117
2,2,2,0,-7.01481527026084,-0.0901791753717865
2,2,2,0,-6.98322498102753,-0.0933425505773922
2,2,2,0,-6.88845411332759,-0.103396761617548
2,2,2,0,-6.76209295639433,-0.118216979244384
2,2,2,0,-6.61993665484442,-0.136982292871429
2,2,2,0,-6.4777803532945,-0.158186881875878
2,2,2,0,-6.31982890712793,-0.184869018061959
2,2,2,0,-6.16187746096136,-0.215135497160734
2,2,2,0,-5.97233572556148,-0.256584805024548
2,2,2,0,-5.84597456862822,-0.287550528924125
2,2,2,0,-5.53007167629508,-0.377568352057313
2,2,2,0,-5.35632508551185,-0.435257674610332
2,2,2,0,-5.10360277164533,-0.530204822396271
2,2,2,0,-4.56656785467899,-0.778539466715489
2,2,2,0,-4.53497756544568,-0.795225621127333
2,2,2,0,-4.51918242082902,-0.803657776605025
2,2,2,0,-4.25066496234585,-0.956274882087156
2,2,2,0,-3.3503417191964,-1.60525157170937
2,2,2,0,-3.25557085149645,-1.68694569343252
2,2,2,0,-3.11341454994654,-1.8147858953495
2,2,2,0,-2.14991072833046,-2.86319172072465
2,2,2,0,-2.08673014986383,-2.94340829557183
2,2,2,0,-1.94457384831391,-3.12855275062519
2,2,2,0,-1.66026124521409,-3.51674910609733
3,3,4,0,-9.21034037197618,-1.76381183856602e-06
3,3,4,0,-9.21034037197618,-4.7789621675735e-06
3,3,4,0,-9.19291066681859,-0.00101409288053463
3,3,4,0,-9.175480961661,-0.00204094122574492
3,3,4,0,-9.14062155134582,-0.00414728396573275
3,3,4,0,-9.10576214103065,-0.00632543427181231
3,3,4,0,-9.07090273071547,-0.00857779251921622
3,3,4,0,-9.03604332040029,-0.0109069690573402
3,3,4,0,-8.96632449976993,-0.0158025899508509
3,3,4,0,-8.93146508945475,-0.0183747032903826
3,3,4,0,-8.86174626882439,-0.0237767572654317
3,3,4,0,-8.80945715335163,-0.0280689834389245
3,3,4,0,-8.79202744819404,-0.0295467672410035
3,3,4,0,-8.70487892240609,-0.0372969747232847
3,3,4,0,-8.6874492172485,-0.0389222968961528
3,3,4,0,-8.61773039661814,-0.0456830057963422
3,3,4,0,-8.54801157598779,-0.0528742793191103
3,3,4,0,-8.49572246051502,-0.058558730477804
3,3,4,0,-8.46086305019984,-0.0624935748678468
3,3,4,0,-8.33885511409671,-0.0772055019818167
3,3,4,0,-8.21684717799359,-0.0934325471304073
3,3,4,0,-8.09483924189046,-0.111245516508538
3,3,4,0,-7.95540160062975,-0.133615499024453
3,3,4,0,-7.83339366452662,-0.155005986486185
3,3,4,0,-7.67652631810832,-0.18504866993838
3,3,4,0,-7.55451838200519,-0.210425624016479
3,3,4,0,-7.3802213304293,-0.249774353313609
3,3,4,0,-7.31050250979894,-0.266542363570373
3,3,4,0,-7.01419752211992,-0.344416998177421
3,3,4,0,-6.66560341896814,-0.449926054119209
3,3,4,0,-6.24729049518599,-0.596694659688721
3,3,4,0,-6.09042314876769,-0.657556371139323
3,3,4,0,-5.72439934045831,-0.812310835333073
3,3,4,0,-5.56753199404001,-0.884284795010701
3,3,4,0,-5.20150818573063,-1.06605013558044
3,3,4,0,-4.15572587627527,-1.70519955444237
3,3,4,0,-3.96399911954178,-1.84447469597823
3,3,4,0,-3.70255354217794,-2.04688283923796
3,3,4,0,-3.63283472154759,-2.10342732616133
3,3,4,0,-3.52825649060205,-2.19039683849158
3,3,4,0,-3.2842406183958,-2.40401393354012
3,3,4,0,-2.9530762204016,-2.7192769718356
3,3,4,0,-2.93564651524401,-2.73672016043751
3,3,4,0,-2.84849798945607,-2.82530560311863
3,3,4,0,-2.74391975851053,-2.93469009016201
3,3,4,0,-2.58705241209223,-3.10532703419689
3,3,4,0,-2.37789595020115,-3.34545605755229
3,3,4,0,-2.15130978315249,-3.62171989307281
3,3,4,0,-1.1578165891699,-4.99739590284453
3,3,4,0,-1.08809776853954,-5.10176390653639
3,3,4,0,-0.791792780860522,-5.55872593949153
4,4,8,0,-9.21034037197618,-1.81264596248482e-06
4,4,8,0,-9.21034037197618,-4.99722092402784e-06
4,4,8,0,-9.19183155066752,-0.00477694238113272
4,4,8,0,-9.17332272935885,-0.00962055431046696
4,4,8,0,-9.15481390805019,-0.0145430182122784
4,4,8,0,-9.13630508674153,-0.0195319766092305
4,4,8,0,-9.11779626543286,-0.0245946778656163
4,4,8,0,-9.0992874441242,-0.0297274023376728
4,4,8,0,-9.08077862281553,-0.034928011935849
4,4,8,0,-9.06226980150687,-0.0401950577625971
4,4,8,0,-9.04376098019821,-0.0455301720275589
4,4,8,0,-9.02525215888954,-0.0509187720423892
4,4,8,0,-9.00674333758088,-0.0563712073112337
4,4,8,0,-8.98823451627222,-0.0618784735986812
4,4,8,0,-8.96972569496355,-0.0674375264007408
4,4,8,0,-8.95121687365489,-0.0730495942086388
4,4,8,0,-8.93270805234623,-0.078706760431446
4,4,8,0,-8.91419923103756,-0.0844094254295382
